snapshot_date,principle,total_value
2014-07-03,46941.68,53970.57
2014-07-04,46941.68,54000.81
2014-07-05,46941.68,54000.81
2014-07-06,46941.68,54000.81
2014-07-07,46941.68,53629.94
2014-07-08,46941.68,53880.23
2014-07-09,46941.68,53040.1
2014-07-10,46941.68,52631.58
2014-07-11,46941.68,52803.92
2014-07-12,46941.68,52803.92
2014-07-13,46941.68,52803.92
2014-07-14,46941.68,53398.19
2014-07-15,45519.2,52161.86
2014-07-16,45519.2,51886.06
2014-07-17,45519.2,51806.77
2014-07-18,45519.2,52345.8
2014-07-19,45519.2,52345.8
2014-07-20,45519.2,52345.8
2014-07-21,45519.2,53076.95
2014-07-22,45519.2,53243.88
2014-07-23,45519.2,53579.24
2014-07-24,45519.2,54452.8
2014-07-25,45519.2,54815.53
2014-07-26,45519.2,54815.53
2014-07-27,45519.2,54815.53
2014-07-28,42674.25,53357.76
2014-07-29,42674.25,53717.09
2014-07-30,42674.25,53533.96
2014-07-31,42674.25,54354.33
2014-08-01,42674.25,54195.86
2014-08-02,42674.25,54195.86
2014-08-03,42674.25,54195.86
2014-08-04,42674.25,54901.81
2014-08-05,42674.25,54774.8
2014-08-06,42674.25,53924.81
2014-08-07,42674.25,53381.29
2014-08-08,42674.25,53810.54
2014-08-09,42674.25,53810.54
2014-08-10,42674.25,53810.54
2014-08-11,42674.25,54262.29
2014-08-12,42674.25,53758.75
2014-08-13,42674.25,53909.07
2014-08-14,42674.25,53456.64
2014-08-15,42674.25,53905.94
2014-08-16,42674.25,53905.94
2014-08-17,42674.25,53905.94
2014-08-18,42674.25,54182.65
2014-08-19,42674.25,54436.51
2014-08-20,42674.25,54318.17
2014-08-21,42674.25,54196.41
2014-08-22,41465.15,54078.41
2014-08-23,41465.15,54078.41
2014-08-24,41465.15,54078.41
2014-08-25,41251.78,53062.73
2014-08-26,41251.78,52544.93
2014-08-27,41251.78,52839.04
2014-08-28,41251.78,52299.72
2014-08-29,41251.78,52786.36
2014-08-30,41251.78,52786.36
2014-08-31,41251.78,52786.36
2014-09-01,41251.78,53184.41
2014-09-02,38691.32,51013.18
2014-09-03,36984.35,49800.98
2014-09-04,36984.35,49978.89
2014-09-05,36984.35,50044.14
2014-09-06,36984.35,50044.14
2014-09-07,36984.35,50044.14
2014-09-08,36984.35,50044.14
2014-09-09,36984.35,49756.63
2014-09-10,36984.35,49286.95
2014-09-11,36984.35,48974.32
2014-09-12,36984.35,49028.83
2014-09-13,36984.35,49028.83
2014-09-14,36984.35,49028.83
2014-09-15,36984.35,48556.01
2014-09-16,36984.35,47479.94
2014-09-17,36984.35,47678.62
2014-09-18,36984.35,47668.83
2014-09-19,36984.35,47905.2
2014-09-20,36984.35,47905.2
2014-09-21,36984.35,47905.2
2014-09-22,36984.35,46770.58
2014-09-23,36984.35,47052.12
2014-09-24,36984.35,47728.17
2014-09-25,36984.35,47623.94
2014-09-26,36984.35,47256.4
2014-09-27,36984.35,47256.4
2014-09-28,36984.35,47256.4
2014-09-29,36984.35,46916.38
2014-09-30,36984.35,46826.19
2014-10-01,36984.35,46826.19
2014-10-02,36984.35,46826.19
2014-10-03,36984.35,46826.19
2014-10-04,36984.35,46826.19
2014-10-05,36984.35,46826.19
2014-10-06,36984.35,46826.19
2014-10-07,36984.35,46826.19
2014-10-08,36984.35,47427.33
2014-10-09,36984.35,47467.73
2014-10-10,36984.35,47049.38
2014-10-11,36984.35,47049.38
2014-10-12,36984.35,47049.38
2014-10-13,36984.35,46471.98
2014-10-14,36984.35,46243.69
2014-10-15,36984.35,46712.04
2014-10-16,34850.64,44675.19
2014-10-17,34850.64,45096.46
2014-10-18,34850.64,45096.46
2014-10-19,34850.64,45096.46
2014-10-20,34850.64,45244.33
2014-10-21,34850.64,44767.23
2014-10-22,34850.64,45069.29
2014-10-23,34850.64,44746.96
2014-10-24,34850.64,44400.73
2014-10-25,34850.64,44400.73
2014-10-26,34850.64,44400.73
2014-10-27,34850.64,43423.84
2014-10-28,34850.64,44204.71
2014-10-29,34850.64,45085.72
2014-10-30,34850.64,45051.28
2014-10-31,34139.4,45558.23
2014-11-01,34139.4,45558.23
2014-11-02,34139.4,45558.23
2014-11-03,34139.4,45514.28
2014-11-04,34139.4,45116.2
2014-11-05,34139.4,44957.31
2014-11-06,34139.4,44719.47
2014-11-07,34139.4,45152.47
2014-11-08,34139.4,45152.47
2014-11-09,34139.4,45152.47
2014-11-10,34139.4,46325.37
2014-11-11,34139.4,46233.13
2014-11-12,34139.4,46907.66
2014-11-13,34139.4,46626.87
2014-11-14,34139.4,46512.78
2014-11-15,34139.4,46512.78
2014-11-16,34139.4,46512.78
2014-11-17,34139.4,46273.24
2014-11-18,34139.4,45561.01
2014-11-19,34139.4,45415.49
2014-11-20,34139.4,45278.93
2014-11-21,34139.4,46066.34
2014-11-22,34139.4,46066.34
2014-11-23,34139.4,46066.34
2014-11-24,34139.4,47149.55
2014-11-25,34139.4,47986.4
2014-11-26,34139.4,48159.37
2014-11-27,34139.4,48294.9
2014-11-28,34139.4,48204.74
2014-11-29,34139.4,48204.74
2014-11-30,34139.4,48204.74
2014-12-01,34139.4,50352.29
2014-12-02,34139.4,52046.36
2014-12-03,34139.4,53969.69
2014-12-04,27062.59,48125.6
2014-12-05,27027.03,47340.61
2014-12-06,27027.03,47340.61
2014-12-07,27027.03,47340.61
2014-12-08,25604.55,46883.31
2014-12-09,24182.08,43957.42
2014-12-10,22759.6,44299.96
2014-12-11,21337.13,43133.53
2014-12-12,21337.13,42822.29
2014-12-13,21337.13,42822.29
2014-12-14,21337.13,42822.29
2014-12-15,21337.13,43758.14
2014-12-16,21337.13,43230.97
2014-12-17,21337.13,42800.95
2014-12-18,21337.13,44672.79
2014-12-19,21337.13,44130.25
2014-12-20,21337.13,44130.25
2014-12-21,21337.13,44130.25
2014-12-22,21337.13,44216.51
2014-12-23,21337.13,44908.05
2014-12-24,21337.13,44133.37
2014-12-25,21337.13,44277.18
2014-12-26,21337.13,45136.36
2014-12-27,21337.13,45136.36
2014-12-28,21337.13,45136.36
2014-12-29,21337.13,43911.47
2014-12-30,21337.13,43146.6
2014-12-31,21337.13,44157.98
2015-01-01,21337.13,44157.98
2015-01-02,21337.13,44157.98
2015-01-03,21337.13,44157.98
2015-01-04,21337.13,44157.98
2015-01-05,21337.13,47968.51
2015-01-06,21337.13,50090.84
2015-01-07,21337.13,49927.26
2015-01-08,21337.13,49630.95
2015-01-09,21337.13,49630.95
2015-01-10,21337.13,49630.95
2015-01-11,21337.13,49630.95
2015-01-12,21337.13,51026.83
2015-01-13,21337.13,52727.11
2015-01-14,21337.13,50898.95
2015-01-15,21337.13,51181.45
2015-01-16,21337.13,51144.33
2015-01-17,21337.13,51144.33
2015-01-18,21337.13,51144.33
2015-01-19,21337.13,48606.91
2015-01-20,21337.13,51233.51
2015-01-21,21337.13,52038.92
2015-01-22,21337.13,51402.08
2015-01-23,21337.13,50646.6
2015-01-24,21337.13,50646.6
2015-01-25,21337.13,50646.6
2015-01-26,21337.13,51017.87
2015-01-27,21337.13,50994.11
2015-01-28,21337.13,50026.97
2015-01-29,21337.13,49257.7
2015-01-30,21337.13,48901.22
2015-01-31,21337.13,48901.22
2015-02-01,21337.13,48901.22
2015-02-02,21337.13,48238.21
2015-02-03,21337.13,48786.43
2015-02-04,21337.13,48632.23
2015-02-05,21337.13,47886
2015-02-06,21337.13,47560.54
2015-02-07,21337.13,47560.54
2015-02-08,21337.13,47560.54
2015-02-09,21337.13,48124.27
2015-02-10,21337.13,49830.29
2015-02-11,21337.13,50160.45
2015-02-12,21337.13,49904.54
2015-02-13,21337.13,49877.23
2015-02-14,21337.13,49877.23
